code,glottolog,ru,en,comment,lat,long
khw-x-chtr,sout2670,читр.,Khowar (Chitral),"I assume this is Khowar, the language spoken in Chitral in Pakistan. For Glottolog I assume it’s southern Khowar, but this is preliminary",35.846111,71.785833
kjh,khak1248,хакас.,Khakas,coordinates of Askiz (the Glottolog coordinates may be a mistake),53.1283,90.538
kjh-sghy,saga1260,хакас. (сагайск.),Saghay Khakas,,53.1283,90.538
kjj,khin1240,хиналуг.,Khinalugh,,41.1801,48.0571
kk,kaza1248,каз.,Kazakh,,51.17,71.45
kk-x-krgnd,kaza1248,караг.,Qaraghandy Kazakh,coordinates of Karaganda,49.7931,73.1168
ko,kore1280,кор.,Korean,,37.54,126.98
kpt,kara1516,карат.,Karata,,42.65,46.32
krc-x-balkar,balk1253,балк.,Balkar,coordinates of Tyrnyauz,43.3815,42.9188
krc-x-karachay,kara1466,карач.,Karachay,coordinates of Karachaevsk,43.762,41.9664
krl,kare1335,карел.,Karelian,,65.1691,30.8655
kry,kryt1240,крыз.,Kryz,,41.1811,48.1846
kry-x-jek,dzhe1238,джекск.,Jek Kryz,,41.195,48.2417
ku,kurd1259,курд.,Kurdish,coordinates of Kurmanji,37.00,43.00
kum,kumy1244,кум.,Kumyk,,43.0,47.0
kv,komi1267,коми,Komi,coordinates of Zyrian,64.05,54.95
kva,bagv1239,куанад.,Bagvalal,,42.40,46.10
kw,corn1251,корн.,Cornish,,50.5233,-4.18619
ky,kirg1245,кирг.,Kyrgyz,,42.0,74.0
la,lati1261,лат.,Latin,,41.9026,12.4502
lbe,lakk1252,лак.,Lak,,42.1328,47.0809
ldd,luri1256,лур.,Luri,,10.059,9.59745
lez,lezg1247,лезг.,Lezgian,,41.5157,47.8951
liv,livv1244,лив.,Livonian,,57.566,22.0262
lt,lith1251,лит.,Lithuanian,,55.1429,23.9601
lt-x-dial,lith1251,лит. (диал.),Lithuanian (dialectal),,55.1429,23.9601
lv,latv1249,латыш.,Latvian,,56.826108,24.309118
lzz,lazz1240,чан.,Laz,,41.5004,41.9096
man,mand1436,мандинго,Manding,I assume this is Mandinka and not Manding in general,12.8165233333,-15.6539466667
mdf,moks1248,мордовский (мокша),Moksha Mordvin,,54.1855,42.6728
mga,midd1360,ср.ирл.,Middle Irish,,53.22,-7.62
mis-x-khuri,khur1237,хури,Khuri,https://www.iranicaonline.org/articles/khur-oasis,33.78333333333333,55.083333333333336
mn,mong1331,монг.,Mongolian,coordinates of Halh,48.32,106.29
mn-x-uriankh,alta1280,урянх.,Uriankhai,seems to be Altai Uriankhai,48.2857,89.5001
mnc,manc1252,манджурское,Manchu,,47.31225,126.55713
mnj,munj1244,пам. м.,Munji,,35.9321,70.9404
mns,mans1269,манси,Mansi, = вогул.,61.14,62.40
myv,erzy1239,мордовский (эрзя),Erzya Mordvin,,52.8548,45.3901
mzn,maza1291,маз.,Mazanderani,,36.241,52.3009
nds,nort2627,н.н.нем.,Low German,,53.115373,12.391439
ne,nepa1254,непал.,Nepali,used macrolanguage because it’s not clear what exactly Abaev refers to,28.0,85.0
nl,dutc1256,нидерл.,Dutch,,52.0,5.0
